"","SampleID","Date","Plate_ID","SampleNumber","SampleReplicate","updownstream","CT_mean","CT_sd","Qty_ng_per_ul_mean","Qty_ng_per_ul_sd","n_qpcrs","Smolts","Sockeye_Male","Sockeye_Female","Sockeye_Jack","SockeyeTotalCount","Water_Date","Gage_Height","Depth_inches","Q_cfs","Avg_Temp","Q_corr_qpcr","G_corr_qpcr"
"78","79B",2016-09-09,"Auk7",79,"B","upstream",33.9369354248047,0.329031819599131,0.00150652994246533,0.000271371681358704,3,NA,0,0,0,0,2016-09-09,21.94,19.32,25.0734062229019,13.70075,0.0377738372343981,0.0330532669376892
"79","80B",2016-09-10,"Auk8",80,"B","upstream",32.851375579834,0.0982918235296247,0.00214894379799565,0.000120650863336822,3,NA,0,0,0,0,2016-09-10,22.85,30.24,118.251928620921,13.1884583333333,0.254116748610951,0.0491033657842005
"80","81B",2016-09-11,"Auk8",81,"B","upstream",33.2309392293294,0.224843480215937,0.00173183984588832,0.000234045116726448,3,NA,1,1,0,2,2016-09-11,22.46,25.56,64.3190658100937,13.2789166666667,0.111390321020233,0.0388971229386516
"81","82B",2016-09-12,"Auk8",82,"B","upstream",33.8553555806478,0.116540137398319,0.00119972326016674,8.19541196994963e-05,3,NA,0,0,0,0,2016-09-12,22.09,21.12,33.4997251360014,13.3337083333333,0.0401903994548535,0.0265018868170834
"82","83B",2016-09-13,"Auk8",83,"B","upstream",34.1231651306152,0.564519578887808,0.00106019617912049,0.000312737846118631,3,NA,0,0,0,0,2016-09-13,22.4,24.84,58.1768774186223,12.7847083333333,0.0616789031523846,0.023748394412299
"83","84B",2016-09-14,"Auk8",84,"B","upstream",33.4733352661133,0.388152356454143,0.00152043835259974,0.000328341481127085,3,NA,0,0,0,0,2016-09-14,22.19,22.32,40.2889790508992,13.0860833333333,0.0612569089360746,0.0337385270441882
"84","85B",2016-09-15,"Auk8",85,"B","upstream",32.7064081827799,0.0475340022345184,0.00233587281157573,6.40345854738509e-05,3,NA,0,0,0,0,2016-09-15,22.39,24.72,57.2008994790292,12.626625,0.133614025890741,0.0523001922511806
"85","86B",2016-09-16,"Auk8",86,"B","upstream",33.8328463236491,0.138187549153097,0.00121626335506638,9.7807524045413e-05,3,NA,0,0,0,0,2016-09-16,22.7,28.44,94.3467437013191,12.27075,0.114750487033754,0.0276091781600068
"86","87B",2016-09-17,"Auk8",87,"B","upstream",34.3132514953613,0.158436114296459,0.00092069220651562,8.67919385892912e-05,3,NA,0,1,0,1,2016-09-17,22.38,24.6,56.2381828843633,12.15175,0.0517780566902335,0.0206050915818196
"87","88B",2016-09-18,"Auk8",88,"B","upstream",35.2254905700684,0.360136833262759,0.000548053794773296,0.000109516408516855,3,NA,0,0,0,0,2016-09-18,22.22,22.68,42.5289278815241,12.0467916666667,0.0233081403131091,0.0121777553198626
"88","89B",2016-09-19,"Auk8",89,"B","upstream",34.8446108500163,0.341141270943114,0.000682762358337641,0.000127995611377298,3,NA,0,0,0,0,2016-09-19,22.03,20.4,29.8916397470467,12.1544583333333,0.0204088864482728,0.0150412547541782
"89","90B",2016-09-20,"Auk8",90,"B","upstream",35.2611147562663,0.323864825796353,0.000535490389059608,9.90580436378543e-05,3,NA,0,0,0,0,2016-09-20,21.89,18.72,22.6808772752191,12.1587916666667,0.0121453917963203,0.0117218846165148
"90","91B",2016-09-21,"Auk8",91,"B","upstream",35.6505635579427,0.213027232622711,0.000424282838745664,5.34890186814044e-05,3,NA,0,0,0,0,2016-09-21,21.77,17.28,17.6833314055795,12.0725,0.0075027340472396,0.0092366373994931
"91","92B",2016-09-22,"Auk8",92,"B","upstream",35.2937100728353,0.368913897244703,0.000527589125946785,0.000117659006001745,3,NA,0,0,0,0,2016-09-22,21.66,15.96,13.9221254892267,11.77325,0.00734516201818259,0.0114275804680074
"92","93B",2016-09-23,"Auk9",93,"B","upstream",34.9901898701986,0.102116917861621,0.000383204343961552,2.65071232312147e-05,3,NA,0,0,0,0,2016-09-23,21.77,17.28,17.6833314055795,11.4719166666667,0.00677632941032978,0.00834235856804298
"93","94B",2016-09-24,"Auk9",94,"B","upstream",35.3550211588542,0.26381018282624,0.000300447553551445,5.17925277834056e-05,3,NA,0,0,0,0,2016-09-24,21.72,16.68,15.8835660445454,11.2309583333333,0.00477217855975648,0.00652572086313739
"94","95B",2016-09-25,"Auk9",95,"B","upstream",36.3043479919434,0.320250909646507,0.000156580436547908,3.2357539511054e-05,3,NA,0,0,0,0,2016-09-25,21.98,19.8,27.1306486371505,11.0031666666667,0.00424812880743292,0.00344163799532301
"95","96B",2016-09-26,"Auk9",96,"B","upstream",36.6720161437988,0.605852183432592,0.000126125754225844,4.61214807271815e-05,3,NA,0,0,0,0,2016-09-26,21.92,19.08,24.0931062916157,11.0915,0.00303876120267346,0.0027646765326305
"96","97B",2016-09-27,"Auk9",97,"B","upstream",36.8966992696126,0.38483761601151,0.000104844621091615,2.90172603775915e-05,3,NA,0,0,0,0,2016-09-27,21.8,17.64,18.8398693187806,11.0472916666667,0.00197525896014311,0.00228561273979722
